"id","title","band","model","variant","fuelType","bodytype","tramsmission","seating","year","milage","color","image","place","price"
"66482","2016 Toyota Sienta 1.5 Q MPV","Toyota","Sienta","Q","Pertamax","MPV","Automatic","7","2016","82500","Silver","https://img5.icarcdn.com/0577456/thumb-l_used-car-mobil123-toyota-sienta-q-mpv-indonesia_0577456_dbuxdLgpGQqF0IohY24x7y.jpg?smia=xTM","Tangerang","169000000"
"89127","2014 Jeep Wrangler 3.6 Rubicon SUV","Jeep","Wrangler","Rubicon","Pertamax","SUV","Automatic","4","2014","34000","Abu-abu","https://img4.icarcdn.com/3807046/thumb-l_used-car-mobil123-jeep-wrangler-rubicon-suv-indonesia_3807046_4FHHaS4QfIGJl9cktzAwbn.jpg?smia=xTM","Jakarta Selatan","995000000"
"83482","2018 Toyota Avanza 1.3 E MPV","Toyota","Avanza","E","Pertamax","MPV","Manual","7","2018","7500","Putih","https://img4.icarcdn.com/4914756/thumb-l_used-car-mobil123-toyota-avanza-e-mpv-indonesia_4914756_PJJg2mbo7Zg5F6tKsY4Gbr.jpg?smia=xTM","Jakarta Barat","128000000"
"52379","2015 Honda Brio 1.2 Satya S Hatchback","Honda","Brio","Satya S","Pertamax","Hatchback","Manual","5","2015","17500","Silver","https://img2.icarcdn.com/5096636/thumb-l_used-car-mobil123-honda-brio-satya-s-hatchback-indonesia_5096636_RGPnGn019q83zWOBokYb81.jpg?smia=xTM","Gresik","110000000"
"68203","2013 Honda Freed 1.5 S MPV","Honda","Freed","S","Pertamax","MPV","Automatic","7","2013","69000","Putih","https://img3.icarcdn.com/8584015/thumb-l_used-car-mobil123-honda-freed-s-mpv-indonesia_8584015_kE6XFwanvkll532ECt54cB.jpg?smia=xTM","Bekasi","185000000"
"8432","2016 Mercedes-Benz GLS400 3.0 4MATIC SUV","Mercedes-Benz","GLS400","4MATIC","Pertamax","SUV","Automatic","7","2016","21000","Hitam","https://img4.icarcdn.com/2396716/thumb-l_used-car-mobil123-mercedes-benz-gls-class-gls400-4matic-suv-indonesia_2396716_QhdAKTlJcOE4e3ecarxwH5.jpg?smia=xTM","Jakarta Selatan","1575000000"
"1655","2019 Honda Mobilio 1.5 E MPV","Honda","Mobilio","E","Pertamax","MPV","Automatic","7","2019","12000","Putih","https://img3.icarcdn.com/1649526/thumb-l_used-car-mobil123-honda-mobilio-e-mpv-indonesia_1649526_X6oJtJIFzg3vAngicKtfBV.jpg?smia=xTM","Pasuruan","190000000"
"26842","2016 Honda Jazz 1.5 RS Hatchback","Honda","Jazz","RS","Pertamax","Hatchback","Manual","5","2016","20000","Putih","https://img1.icarcdn.com/9813326/thumb-l_used-car-mobil123-honda-jazz-rs-hatchback-indonesia_9813326_H6FBzf1MQ9K06CTkGclnAb.jpg?smia=xTM","Malang","220000000"
"6591","2013 Mitsubishi Outlander Sport 2.0 PX SUV","Mitsubishi","Outlander Sport","PX","Pertamax","SUV","Automatic","5","2013","82500","Abu-abu","https://img5.icarcdn.com/6922246/thumb-l_used-car-mobil123-mitsubishi-outlander-sport-px-suv-indonesia_6922246_bAanIHSiA0COTYc6VQr8OT.jpeg?smia=xTM","Pasuruan","190000000"
"38018","2014 Mazda CX-5 2.5 Grand Touring SUV","Mazda","CX-5","Grand Touring","Pertamax","SUV","Automatic","5","2014","30000","Abu-abu","https://img2.icarcdn.com/4681716/thumb-l_used-car-mobil123-mazda-cx-5-grand-touring-suv-indonesia_4681716_xfAD5KAKitUEaGPOMrBPpl.jpg?smia=xTM","Tangerang","245000000"
"21509","2017 Honda CR-V 1.5 Prestige Prestige VTEC SUV","Honda","CR-V","Prestige Prestige VTEC","Pertamax","SUV","Automatic","7","2017","37000","Putih","https://img3.icarcdn.com/2619746/thumb-l_used-car-mobil123-honda-cr-v-prestige-prestige-vtec-suv-indonesia_2619746_oBKdFGkrD0qr51jjkZIEAT.jpg?smia=xTM","Sidoarjo","435000000"
"44886","2016 Honda Jazz 1.5 RS Hatchback","Honda","Jazz","RS","Pertamax","Hatchback","Manual","5","2016","58000","Hitam","https://img4.icarcdn.com/9166746/thumb-l_used-car-mobil123-honda-jazz-rs-hatchback-indonesia_9166746_7kHWUYreyuyKfobuayrF8N.jpg?smia=xTM","Bekasi","195000000"
"71441","2017 Toyota Land Cruiser 4.5 VX Grade SUV","Toyota","Land Cruiser","VX Grade","Solar","SUV","Automatic","8","2017","15000","Putih","https://img2.icarcdn.com/7968565/thumb-l_used-car-mobil123-toyota-land-cruiser-vx-grade-suv-indonesia_7968565_K7pJZDdD2YdLUpYLk2clYJ.jpg?smia=xTM","Jakarta Selatan","2175000000"
"76011","2016 Daihatsu Xenia 1.3 R MPV","Daihatsu","Xenia","R","Pertamax","MPV","Manual","7","2016","54000","Putih","https://img2.icarcdn.com/0184826/thumb-l_used-car-mobil123-daihatsu-xenia-r-mpv-indonesia_0184826_LmwdOs49aNoAhVummxij1j.jpg?smia=xTM","Ponorogo","135000000"
"44092","2012 Toyota Limo 1.5 Manual Sedan","Toyota","Limo","Manual","Pertamax","Sedan","Manual","5","2012","102500","Abu-abu","https://img1.icarcdn.com/2692615/thumb-l_used-car-mobil123-toyota-limo-manual-sedan-indonesia_2692615_HxEWqZyIgF9EPx7UAEtCN9.jpg?smia=xTM","Jakarta Selatan","82500000"
"57974","2010 Nissan Serena 2.0 Highway Star MPV","Nissan","Serena","Highway Star","Pertamax","MPV","Automatic","7","2010","81000","Silver","https://img4.icarcdn.com/6425655/thumb-l_used-car-mobil123-nissan-serena-highway-star-mpv-indonesia_6425655_oGxD23A3YoEZ102tFKQCDz.jpg?smia=xTM","Jakarta Barat","105000000"
"34570","2007 Toyota Alphard 3.0 V Van Wagon","Toyota","Alphard","V","Pertamax","Van Wagon","Automatic","7","2007","112500","Hitam","https://img1.icarcdn.com/2959146/thumb-l_used-car-mobil123-toyota-alphard-v-van-wagon-indonesia_2959146_4rYekGcKnMsL0nbTz6iwkr.jpg?smia=xTM","Jakarta Utara","169000000"
